City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
72,west island,-12.1568,96.8225,301.14,78,40,3.09,CC,1707501576
73,el bauga,18.262,33.9081,296.46,17,5,4.92,SD,1707501576
74,iskateley,67.6803,53.1512,258.72,95,89,3.58,RU,1707501576
75,longyearbyen,78.2186,15.6401,268.06,68,75,5.66,SJ,1707501577
76,ilulissat,69.2167,-51.1,254.05,68,80,4.68,GL,1707501577
77,beloyarskiy,63.7119,66.6722,261.42,93,100,3.59,RU,1707501577
78,jamestown,42.097,-79.2353,288.92,59,0,8.23,US,1707501440
79,mogadishu,2.0371,45.3438,300.04,83,53,10.94,SO,1707501459
80,waitangi,-43.9535,-176.5597,284.16,65,0,4.65,NZ,1707501578
81,constantia,44.1833,28.65,282.53,74,49,5.12,RO,1707501579
82,tolanaro,-25.0319,46.9987,299.19,83,40,5.14,MG,1707501362
83,udachny,66.4167,112.4,238.55,100,100,1.26,RU,1707501579
84,cill airne,52.05,-9.5167,281.18,81,40,2.06,IE,1707501382
85,mendota,36.7536,-120.3816,280.52,80,63,2.07,US,1707501580
86,emerald,-23.5333,148.1667,295.56,76,17,2.61,AU,1707501502
87,kerikeri,-35.2268,173.9474,292.54,92,97,2.27,NZ,1707501580
88,mount gambier,-37.8333,140.7667,288.53,68,71,3.19,AU,1707501581
89,lambarene,-0.7001,10.2406,299.8,85,95,1.92,GA,1707501581
90,karratha,-20.7377,116.8463,303.43,59,25,2.92,AU,1707501581
91,valga,57.7778,26.0473,262.59,72,9,0.89,EE,1707501582
92,mazatlan,23.2167,-106.4167,296.43,54,100,1.79,MX,1707501439
93,acapulco de juarez,16.8634,-99.8901,301.49,62,6,2.61,MX,1707501582
94,bubaque,11.2833,-15.8333,299.88,75,12,6.54,GW,1707501583
95,cinque frondi,38.4162,16.0842,289.73,61,99,2.28,IT,1707501583
96,holualoa,19.6228,-155.9522,292.47,81,20,2.57,US,1707501333
97,kapuskasing,49.4169,-82.4331,278.2,93,100,5.14,CA,1707501584
98,thompson,55.7435,-97.8558,256.24,85,100,5.66,CA,1707501584
99,dudinka,69.4058,86.1778,249.64,87,97,2.68,RU,1707501584
100,necochea,-38.5473,-58.7368,295.58,87,100,0.25,AR,1707501584
101,port alfred,-33.5906,26.891,292.69,89,24,2.24,ZA,1707501585
102,serres,41.0856,23.5497,284.49,83,52,0.97,GR,1707501585
103,urangan,-25.3,152.9,296.04,92,37,2.24,AU,1707501586
104,glace bay,46.1969,-59.957,275.25,79,20,2.68,CA,1707501586
105,copala,16.65,-98.9833,301.73,60,1,2.8,MX,1707501586
106,queenstown,-31.8976,26.8753,289.87,88,45,5.04,ZA,1707501587
107,anadyr,64.75,177.4833,261.43,78,75,7.0,RU,1707501587
108,bredasdorp,-34.5322,20.0403,291.9,73,19,5.99,ZA,1707501587
109,kailua-kona,19.6406,-155.9956,294.54,78,7,3.72,US,1707501587
110,fernie,49.5,-115.0687,270.53,78,100,1.32,CA,1707501499
111,bilibino,68.0546,166.4372,245.38,99,100,0.46,RU,1707501588
112,gadzhiyevo,69.2551,33.3362,254.35,98,100,2.46,RU,1707501588
113,nar'yan-mar,67.6713,53.087,258.77,95,89,3.58,RU,1707501589
114,guadalupe y calvo,26.1,-106.9667,281.42,40,97,2.47,MX,1707501589
115,la passe,45.5549,-0.8967,284.81,89,66,3.15,FR,1707501392
116,loukhi,66.0764,33.0381,259.41,89,99,2.58,RU,1707501590
117,xai-xai,-25.0519,33.6442,298.9,73,2,5.08,MZ,1707501590
118,talnakh,69.4865,88.3972,248.17,82,100,3.06,RU,1707501590
119,chingirlau,51.095,54.0814,259.77,93,14,5.29,KZ,1707501591
120,san borja,-14.8167,-66.85,306.24,55,48,2.85,BO,1707501591
121,extrema,-22.8547,-46.3183,302.3,48,72,0.86,BR,1707501591
122,east london,-33.0153,27.9116,292.67,88,100,5.66,ZA,1707501592
123,haiku-pauwela,20.9219,-156.3051,295.4,81,20,2.06,US,1707501592
124,lebu,-37.6167,-73.65,290.77,68,58,5.1,CL,1707501592
125,port shepstone,-30.7414,30.455,297.01,96,84,1.01,ZA,1707501593
126,petropavlovsk-kamchatsky,53.0452,158.6483,260.48,85,75,3.0,RU,1707501593
127,saint-pierre,-21.3393,55.4781,299.97,69,0,2.06,RE,1707501593
128,deschutes river woods,43.9915,-121.3584,275.54,73,20,2.06,US,1707501594
129,otjimbingwe,-22.35,16.1333,303.45,28,40,6.84,NA,1707501594
130,hawaiian paradise park,19.5933,-154.9731,293.17,93,75,2.06,US,1707501594
131,kodiak,57.79,-152.4072,276.88,93,100,10.8,US,1707501356
132,enriquillo,17.9,-71.2333,302.97,35,0,3.28,DO,1707501595
133,nuuk,64.1835,-51.7216,264.27,93,100,7.36,GL,1707501451
134,holyhead,53.3062,-4.6321,281.64,93,100,3.09,GB,1707501595
135,lompoc,34.6391,-120.4579,288.03,77,40,1.79,US,1707501596
136,mata-utu,-13.2816,-176.1745,302.13,81,100,7.54,WF,1707501596
137,el granada,37.5027,-122.4694,284.95,82,40,1.54,US,1707501596
138,razole,16.4833,81.8333,295.25,97,24,1.85,IN,1707501597
139,byron bay,-28.65,153.6167,294.66,99,100,2.25,AU,1707501597
140,invercargill,-46.4,168.35,287.05,69,100,4.92,NZ,1707501597
141,keflavik,64.0049,-22.5624,270.39,74,75,5.66,IS,1707501382
142,eydhafushi,5.1033,73.0708,300.94,72,29,8.06,MV,1707501598
143,puerto quijarro,-17.7833,-57.7667,313.8,26,86,3.17,BO,1707501598
144,flying fish cove,-10.4217,105.6791,299.97,89,100,3.6,CX,1707501598
145,port elizabeth,-33.918,25.5701,294.87,82,20,6.69,ZA,1707501537
146,ziway,7.9333,38.7167,293.04,77,77,4.83,ET,1707501599
147,fomboni,-12.28,43.7425,302.19,75,84,1.93,KM,1707501599
148,kourou,5.1552,-52.6478,304.18,70,87,3.55,GF,1707501600
149,kirensk,57.7853,108.1119,267.02,96,100,3.13,RU,1707501601
150,fort st. john,56.2499,-120.8529,259.09,85,20,1.03,CA,1707501499
151,aasiaat,68.7098,-52.8699,256.51,84,100,10.93,GL,1707501343
152,ust-nera,64.5667,143.2,238.0,100,100,1.18,RU,1707501353
153,mana,5.6592,-53.7767,302.12,67,80,5.17,GF,1707501341
154,bayanaul,50.7889,75.6956,277.36,66,82,15.15,KZ,1707501604
