City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
562,yinchuan,38.4681,106.2731,272.02,53,0,3.48,CN,1707496757
563,jiquilisco,13.3167,-88.5833,303.08,44,1,2.63,SV,1707496792
564,buchanan,5.8808,-10.0467,302.91,68,5,5.25,LR,1707496793
565,rosarito,32.3333,-117.0333,284.53,71,83,0.34,MX,1707496793
566,oroqen zizhiqi,50.5667,123.7167,252.46,99,86,1.33,CN,1707496793
567,la ronge,55.1001,-105.2842,264.29,92,100,1.03,CA,1707496794
568,dryden,49.7833,-92.7503,266.31,86,100,5.14,CA,1707496794
569,rayachoti,14.05,78.75,295.4,77,1,2.59,IN,1707496794
570,andergrove,-21.0833,149.1833,297.95,73,27,6.21,AU,1707496795
571,damara,4.9608,18.7035,305.14,20,5,1.25,CF,1707496795
572,ulan bator,47.9077,106.8832,244.22,69,0,2.0,MN,1707496693
573,pontiac,42.6389,-83.2911,288.21,68,40,6.17,US,1707496796
574,kili,5.6439,169.1211,300.31,79,100,6.85,MH,1707496796
575,sandnessjoen,66.0217,12.6316,272.27,93,100,7.2,NO,1707496796
576,lodwar,3.1191,35.5973,307.3,30,16,6.73,KE,1707496797
577,acapulco de juarez,16.8634,-99.8901,301.05,65,0,2.06,MX,1707496787
578,kone,-21.0595,164.8658,297.69,85,100,1.53,NC,1707496798
579,tokar,18.4254,37.729,298.3,69,0,3.53,SD,1707496798
